Schema,table,No Of Columns,Size
test,SR2_FILE1,2,16 kB
import_test,FIN_ACCT_TXNS,46,0 bytes
genaipoc,SRC1_Input1,64,56 kB
genaipoc,SRC2_Input1,8,16 kB
genaipoc,SRC2_Input2,8,16 kB
TD_DEMO_SCHEMA__bk,FIN_ACCT_TXNS,46,8192 bytes
TD_DEMO_SCHEMA__bk,SR2_FILE1,2,8192 bytes
TD_DEMO_SCHEMA__bk,SRC1_FILE,33,16 kB
TD_DEMO_SCHEMA__bk,SRC1_STAGING_DATA,33,16 kB
TD_DEMO_SCHEMA__bk,SRC2_FILE2,9,8192 bytes
TD_DEMO_SCHEMA__bk,SRC2_STAGING_DATA1,9,8192 bytes
TD_DEMO_SCHEMA__bk,SRC2_STAGING_DATA2,9,8192 bytes
TD_DEMO_SCHEMA__bk,STG_ACCT_TXNS,19,16 kB
TD_DEMO_SCHEMA__bk,STG_SRC1_KDE,21,16 kB
TD_DEMO_SCHEMA__bk,STG_SRC1_STITCHED,23,16 kB
TD_DEMO_SCHEMA__bk,STG_SRC2_KDE,27,16 kB
TD_DEMO_SCHEMA_2,FIN_ACCT_TXNS,46,8192 bytes
TD_DEMO_SCHEMA_2,SRC1_FILE,33,8192 bytes
TD_DEMO_SCHEMA_2,SRC1_STAGING_DATA,33,8192 bytes
TD_DEMO_SCHEMA_2,SRC2_FILE1,8,8192 bytes
TD_DEMO_SCHEMA_2,SRC2_FILE2,9,8192 bytes
TD_DEMO_SCHEMA_2,SRC2_STAGING_DATA1,9,8192 bytes
TD_DEMO_SCHEMA_2,SRC2_STAGING_DATA2,9,8192 bytes
TD_DEMO_SCHEMA_2,STG_ACCT_TXNS,19,8192 bytes
TD_DEMO_SCHEMA_2,STG_SRC1_KDE,21,8192 bytes
TD_DEMO_SCHEMA_2,STG_SRC1_STITCHED,23,8192 bytes
TD_DEMO_SCHEMA_2,STG_SRC2_KDE,27,8192 bytes
TD_DEMO_SCHEMA,FIN_ACCT_TXNS,46,48 kB
TD_DEMO_SCHEMA,SRC1_FILE,33,48 kB
TD_DEMO_SCHEMA,SRC1_STAGING_DATA,33,48 kB
TD_DEMO_SCHEMA,SRC2_FILE1,8,48 kB
TD_DEMO_SCHEMA,SRC2_FILE2,9,48 kB
TD_DEMO_SCHEMA,SRC2_STAGING_DATA1,9,48 kB
TD_DEMO_SCHEMA,SRC2_STAGING_DATA2,9,48 kB
TD_DEMO_SCHEMA,STG_ACCT_TXNS,19,48 kB
TD_DEMO_SCHEMA,STG_SRC1_KDE,21,48 kB
TD_DEMO_SCHEMA,STG_SRC1_STITCHED,23,56 kB
TD_DEMO_SCHEMA,STG_SRC2_KDE,27,56 kB
DEMO2_bk,EXCEPTION_TBL,33,16 kB
DEMO2_bk,FIN_ACCT_TXNS,46,16 kB
DEMO2_bk,PRE_FIN_ACC_TXNS,33,16 kB
DEMO2_bk,SRC1_DATA,192,16 kB
DEMO2_bk,SRC1_HOLD,45,16 kB
DEMO2_bk,SRC1_KDE,54,16 kB
DEMO2_bk,SRC1_ORPHAN,57,16 kB
DEMO2_bk,SRC1_STG1,192,16 kB
DEMO2_bk,SRC1_STITCHED,55,16 kB
DEMO2_bk,SRC2_DATA1,21,16 kB
DEMO2_bk,SRC2_DATA2,24,16 kB
DEMO2_bk,SRC2_KDE,30,16 kB
DEMO2_bk,SRC2_STG1,21,16 kB
DEMO2_bk,SRC2_STG2,24,16 kB
DEMO2_Rahul,EXCEPTION_TBL,33,16 kB
DEMO2_Rahul,FIN_ACCT_TXNS,46,16 kB
DEMO2_Rahul,PRE_FIN_ACC_TXNS,33,16 kB
DEMO2_Rahul,SRC1_DATA,192,16 kB
DEMO2_Rahul,SRC1_HOLD,45,16 kB
DEMO2_Rahul,SRC1_KDE,54,16 kB
DEMO2_Rahul,SRC1_ORPHAN,57,16 kB
DEMO2_Rahul,SRC1_STG1,192,16 kB
DEMO2_Rahul,SRC1_STITCHED,55,16 kB
DEMO2_Rahul,SRC2_DATA1,21,16 kB
DEMO2_Rahul,SRC2_DATA2,24,16 kB
DEMO2_Rahul,SRC2_KDE,30,16 kB
DEMO2_Rahul,SRC2_STG1,21,16 kB
DEMO2_Rahul,SRC2_STG2,24,16 kB
DEMO2,EXCEPTION_TBL,33,16 kB
DEMO2,FIN_ACCT_TXNS,46,16 kB
DEMO2,PRE_FIN_ACC_TXNS,33,16 kB
DEMO2,SRC1_DATA,192,16 kB
DEMO2,SRC1_HOLD,45,16 kB
DEMO2,SRC1_KDE,54,16 kB
DEMO2,SRC1_ORPHAN,57,16 kB
DEMO2,SRC1_STG1,192,16 kB
DEMO2,SRC1_STITCHED,55,16 kB
DEMO2,SRC2_DATA1,21,16 kB
DEMO2,SRC2_DATA2,24,16 kB
DEMO2,SRC2_KDE,30,16 kB
DEMO2,SRC2_STG1,21,16 kB
DEMO2,SRC2_STG2,24,16 kB
